2713	archival material
2350	house and garden
1299	packaging and materials handling
903	plastics samples and industry
896	fashion and costume
722	health, care and grooming
574	office and workplace
557	toys and games
530	travel and holiday
470	MoDiP reference library
461	promotional material
419	sports, leisure and hobbies
373	audio visual
339	textiles
332	plastics and the environment
243	construction and building services
228	printed, written and drawn material
182	photographic
151	telecommunications
113	smoking
22	artist or designer work
20	animals and pets
