"origin","estimate","se","ci_lo","ci_hi","within","between","domain","cycle"
"High",289.247884806635,1.87554014590385,285.571826120663,292.923943492607,2.98164533368089,0.487277732014687,"Numeracy","2012"
"Low",239.217135166175,1.83606407619968,235.618449576824,242.815820755527,2.8912623114658,0.43624452767745,"Numeracy","2012"
"Medium",270.925699960371,1.60374233648171,267.782364980867,274.069034939875,2.09183604988445,0.436503119944882,"Numeracy","2012"
"High",296.30728986971,1.75934060998288,292.858982274143,299.755597465276,2.57155639838087,0.476111803230961,"Literacy","2012"
"Low",252.249370802888,1.73959438647888,248.839765805389,255.658975800387,2.48271999257708,0.494062397174305,"Literacy","2012"
"Medium",281.700540486787,1.4343572288897,278.889200318163,284.511880655411,1.66594743686332,0.355848384731652,"Literacy","2012"
"High",292.74812258818,2.6173725291069,287.618072431131,297.87817274523,6.29126672313008,0.508520211812133,"Numeracy","2023"
"Low",242.450243765355,4.24847093410902,234.123240734502,250.777246796209,17.2174915585801,0.756376108535512,"Numeracy","2023"
"Medium",278.669823350856,2.13228191358446,274.490550800231,282.849095901482,4.31730653088981,0.208472389190562,"Numeracy","2023"
"High",292.657119066441,2.43985178513453,287.875009567577,297.439228565304,5.75556346648849,0.179375697214249,"Literacy","2023"
"Low",245.945116686693,3.77205926618485,238.551880524971,253.338352848415,13.4818816786341,0.678681299069947,"Literacy","2023"
"Medium",281.325737480883,2.19637995725905,277.020832764655,285.630642197111,4.61769053343626,0.187631257466359,"Literacy","2023"
